date,city,temperature_c,rainfall_mm,weather_condition
2021-03-26,Benin,31.2,3.0,Rainy
2021-03-27,Benin,29.3,1.8,Cloudy
2021-03-28,Benin,31.0,0.0,Sunny
2021-03-29,Benin,32.5,0.9,Cloudy
2021-03-30,Benin,30.1,0.0,Sunny
2021-03-31,Benin,28.8,0.0,Sunny
2021-04-01,Benin,29.1,17.5,Rainy
2021-04-02,Benin,27.5,19.9,Rainy
2021-04-03,Benin,31.1,2.6,Cloudy
2021-04-04,Benin,29.0,4.3,Rainy
2021-04-05,Benin,31.6,7.6,Rainy
2021-04-06,Benin,30.8,6.8,Rainy
2021-04-07,Benin,28.8,6.6,Rainy
2021-04-08,Benin,28.4,0.0,Sunny
2021-04-09,Benin,30.2,0.0,Sunny
2021-04-10,Benin,28.6,2.8,Cloudy
2021-04-11,Benin,30.0,12.8,Rainy
2021-04-12,Benin,30.8,8.4,Rainy
2021-04-13,Benin,28.1,4.1,Rainy
2021-04-14,Benin,28.5,2.6,Cloudy
2021-04-15,Benin,28.4,2.9,Cloudy
2021-04-16,Benin,28.3,9.8,Rainy
2021-04-17,Benin,27.4,1.4,Cloudy
2021-04-18,Benin,26.6,12.1,Rainy
2021-04-19,Benin,27.8,8.3,Rainy
2021-04-20,Benin,29.7,11.6,Rainy
2021-04-21,Benin,28.7,0.3,Cloudy
2021-04-22,Benin,26.7,0.0,Sunny
2021-04-23,Benin,29.2,8.9,Rainy
2021-04-24,Benin,29.7,0.0,Sunny
2021-04-25,Benin,30.6,1.5,Cloudy
2021-04-26,Benin,27.6,1.4,Cloudy
2021-04-27,Benin,29.1,0.0,Sunny
2021-04-28,Benin,28.9,7.1,Rainy
2021-04-29,Benin,30.7,5.9,Rainy
2021-04-30,Benin,27.0,5.7,Rainy
2021-05-01,Benin,27.4,0.0,Sunny
2021-05-02,Benin,27.0,0.0,Sunny
2021-05-03,Benin,28.1,10.6,Rainy
2021-05-04,Benin,32.4,2.1,Cloudy
2021-05-05,Benin,30.6,3.0,Rainy
2021-05-06,Benin,26.5,8.5,Rainy
2021-05-07,Benin,29.4,14.1,Rainy
2021-05-08,Benin,26.7,19.0,Rainy
2021-05-09,Benin,31.4,4.9,Rainy
2021-05-10,Benin,28.6,1.4,Cloudy
2021-05-11,Benin,29.2,4.1,Rainy
2021-05-12,Benin,29.8,3.5,Rainy
2021-05-13,Benin,31.1,5.6,Rainy
2021-05-14,Benin,28.6,10.1,Rainy
2021-05-15,Benin,26.6,6.7,Rainy
2021-05-16,Benin,29.0,0.0,Sunny
2021-05-17,Benin,26.4,10.1,Rainy
2021-05-18,Benin,30.4,5.9,Rainy
2021-05-19,Benin,31.6,7.2,Rainy
2021-05-20,Benin,30.9,7.1,Rainy
2021-05-21,Benin,28.6,0.0,Sunny
2021-05-22,Benin,28.1,3.7,Rainy
2021-05-23,Benin,31.0,8.8,Rainy
2021-05-24,Benin,29.5,9.4,Rainy
2021-05-25,Benin,29.8,6.3,Rainy
2021-05-26,Benin,26.8,10.7,Rainy
2021-05-27,Benin,28.3,10.4,Rainy
2021-05-28,Benin,30.8,1.6,Cloudy
2021-05-29,Benin,30.4,3.2,Rainy
2021-05-30,Benin,28.5,6.3,Rainy
2021-05-31,Benin,29.4,5.2,Rainy
2021-06-01,Benin,27.0,4.4,Rainy
2021-06-02,Benin,32.4,0.0,Sunny
2021-06-03,Benin,30.3,10.3,Rainy
2021-06-04,Benin,27.0,2.7,Cloudy
2021-06-05,Benin,27.5,14.3,Rainy
2021-06-06,Benin,30.7,10.8,Rainy
2021-06-07,Benin,29.2,11.6,Rainy
2021-06-08,Benin,29.0,11.8,Rainy
2021-06-09,Benin,28.8,1.6,Cloudy
2021-06-10,Benin,31.7,4.9,Rainy
2021-06-11,Benin,27.7,0.5,Cloudy
2021-06-12,Benin,27.6,9.2,Rainy
2021-06-13,Benin,28.9,16.5,Rainy
2021-06-14,Benin,30.8,6.3,Rainy
2021-06-15,Benin,31.1,2.5,Cloudy
2021-06-16,Benin,26.2,0.1,Cloudy
2021-06-17,Benin,29.2,3.9,Rainy
2021-06-18,Benin,30.2,4.4,Rainy
2021-06-19,Benin,30.1,12.5,Rainy
2021-06-20,Benin,28.8,7.8,Rainy
2021-06-21,Benin,26.4,4.4,Rainy
2021-06-22,Benin,27.2,5.7,Rainy
2021-06-23,Benin,29.4,6.2,Rainy
2021-06-24,Benin,28.3,16.5,Rainy
2021-06-25,Benin,27.1,0.0,Sunny
2021-06-26,Benin,31.5,1.5,Cloudy
2021-06-27,Benin,27.6,16.5,Rainy
2021-06-28,Benin,30.5,2.0,Cloudy
2021-06-29,Benin,29.3,14.7,Rainy
2021-06-30,Benin,30.0,11.4,Rainy
2021-07-01,Benin,28.2,9.7,Rainy
2021-07-02,Benin,27.1,5.1,Rainy
2021-07-03,Benin,27.4,8.7,Rainy
2021-07-04,Benin,26.6,5.6,Rainy
2021-07-05,Benin,26.5,5.6,Rainy
2021-07-06,Benin,25.1,18.0,Rainy
2021-07-07,Benin,25.9,3.2,Rainy
2021-07-08,Benin,25.8,8.1,Rainy
2021-07-09,Benin,26.7,0.2,Cloudy
2021-07-10,Benin,28.0,9.0,Rainy
2021-07-11,Benin,26.9,1.7,Cloudy
2021-07-12,Benin,30.3,6.7,Rainy
2021-07-13,Benin,25.1,12.1,Rainy
2021-07-14,Benin,25.7,18.7,Rainy
2021-07-15,Benin,27.1,10.1,Rainy
2021-07-16,Benin,23.9,0.0,Sunny
2021-07-17,Benin,29.0,6.6,Rainy
2021-07-18,Benin,30.1,7.4,Rainy
2021-07-19,Benin,27.2,13.6,Rainy
2021-07-20,Benin,28.5,4.0,Rainy
2021-07-21,Benin,25.4,0.0,Sunny
2021-07-22,Benin,26.3,0.0,Sunny
2021-07-23,Benin,30.9,1.7,Cloudy
2021-07-24,Benin,26.0,0.0,Sunny
2021-07-25,Benin,26.6,1.7,Cloudy
2021-07-26,Benin,29.6,5.8,Rainy
2021-07-27,Benin,27.0,4.3,Rainy
2021-07-28,Benin,28.2,2.7,Cloudy
2021-07-29,Benin,28.0,13.1,Rainy
2021-07-30,Benin,27.7,3.8,Rainy
2021-07-31,Benin,25.6,3.6,Rainy
2021-08-01,Benin,27.8,0.0,Sunny
2021-08-02,Benin,28.2,6.0,Rainy
2021-08-03,Benin,26.8,1.7,Cloudy
2021-08-04,Benin,26.3,8.0,Rainy
2021-08-05,Benin,26.8,2.5,Cloudy
2021-08-06,Benin,27.7,7.5,Rainy
2021-08-07,Benin,25.1,7.9,Rainy
2021-08-08,Benin,30.8,7.3,Rainy
2021-08-09,Benin,24.5,5.9,Rainy
2021-08-10,Benin,24.3,20.8,Rainy
2021-08-11,Benin,30.4,1.7,Cloudy
2021-08-12,Benin,23.6,0.6,Cloudy
2021-08-13,Benin,26.7,0.0,Sunny
2021-08-14,Benin,26.9,4.1,Rainy
2021-08-15,Benin,27.2,6.1,Rainy
2021-08-16,Benin,25.6,0.7,Cloudy
2021-08-17,Benin,27.1,1.8,Cloudy
2021-08-18,Benin,28.4,5.2,Rainy
2021-08-19,Benin,29.8,9.1,Rainy
2021-08-20,Benin,28.7,5.7,Rainy
2021-08-21,Benin,27.2,13.7,Rainy
2021-08-22,Benin,26.4,7.7,Rainy
2021-08-23,Benin,26.6,3.7,Rainy
2021-08-24,Benin,25.2,1.3,Cloudy
2021-08-25,Benin,25.6,8.0,Rainy
2021-08-26,Benin,28.6,4.5,Rainy
2021-08-27,Benin,27.3,4.2,Rainy
2021-08-28,Benin,25.8,9.3,Rainy
2021-08-29,Benin,28.0,0.0,Sunny
2021-08-30,Benin,26.6,0.6,Cloudy
2021-08-31,Benin,26.4,1.6,Cloudy
2021-09-01,Benin,26.9,3.4,Rainy
2021-09-02,Benin,26.5,10.5,Rainy
2021-09-03,Benin,27.8,1.5,Cloudy
2021-09-04,Benin,26.2,7.5,Rainy
2021-09-05,Benin,27.7,2.0,Cloudy
2021-09-06,Benin,26.6,14.2,Rainy
2021-09-07,Benin,26.1,14.6,Rainy
2021-09-08,Benin,28.7,13.6,Rainy
2021-09-09,Benin,26.1,4.2,Rainy
2021-09-10,Benin,26.3,10.6,Rainy
2021-09-11,Benin,26.1,8.7,Rainy
2021-09-12,Benin,28.0,4.8,Rainy
2021-09-13,Benin,28.9,5.5,Rainy
2021-09-14,Benin,28.3,2.5,Cloudy
2021-09-15,Benin,25.9,8.7,Rainy
2021-09-16,Benin,27.6,6.2,Rainy
2021-09-17,Benin,26.5,12.7,Rainy
2021-09-18,Benin,25.3,0.0,Sunny
2021-09-19,Benin,28.4,9.3,Rainy
2021-09-20,Benin,27.5,3.6,Rainy
2021-09-21,Benin,27.8,13.6,Rainy
2021-09-22,Benin,30.8,0.0,Sunny
2021-09-23,Benin,26.4,2.6,Cloudy
2021-09-24,Benin,29.4,0.0,Sunny
2021-09-25,Benin,27.8,3.7,Rainy
2021-09-26,Benin,29.5,12.5,Rainy
2021-09-27,Benin,27.5,0.0,Sunny
2021-09-28,Benin,26.1,2.7,Cloudy
2021-09-29,Benin,25.0,10.8,Rainy
2021-09-30,Benin,24.8,14.8,Rainy
2021-10-01,Benin,30.9,0.2,Cloudy
2021-10-02,Benin,28.5,0.9,Cloudy
2021-10-03,Benin,29.4,3.5,Rainy
2021-10-04,Benin,28.4,1.9,Cloudy
2021-10-05,Benin,27.1,1.9,Cloudy
2021-10-06,Benin,28.2,0.0,Sunny
2021-10-07,Benin,28.0,0.2,Cloudy
2021-10-08,Benin,27.1,0.0,Sunny
2021-10-09,Benin,28.1,0.0,Sunny
2021-10-10,Benin,27.3,3.2,Rainy
2021-10-11,Benin,28.9,0.0,Sunny
2021-10-12,Benin,28.5,1.3,Cloudy
2021-10-13,Benin,30.6,3.8,Rainy
2021-10-14,Benin,25.7,2.7,Cloudy
2021-10-15,Benin,29.9,2.1,Cloudy
2021-10-16,Benin,27.5,5.8,Rainy
2021-10-17,Benin,29.0,5.0,Rainy
2021-10-18,Benin,30.0,1.9,Cloudy
2021-10-19,Benin,27.1,1.0,Cloudy
2021-10-20,Benin,27.7,0.0,Sunny
2021-10-21,Benin,29.0,4.1,Rainy
2021-10-22,Benin,27.6,5.3,Rainy
2021-10-23,Benin,25.7,3.1,Rainy
2021-10-24,Benin,30.5,0.6,Cloudy
2021-10-25,Benin,27.7,3.1,Rainy
2021-10-26,Benin,28.8,0.0,Sunny
2021-10-27,Benin,26.7,1.0,Cloudy
2021-10-28,Benin,25.9,0.1,Cloudy
2021-10-29,Benin,26.0,0.3,Cloudy
2021-10-30,Benin,27.5,1.7,Cloudy
2021-10-31,Benin,27.9,2.0,Cloudy
2021-11-01,Benin,28.6,3.1,Rainy
2021-11-02,Benin,29.3,2.5,Cloudy
2021-11-03,Benin,32.7,1.7,Cloudy
2021-11-04,Benin,31.9,1.8,Cloudy
2021-11-05,Benin,27.9,0.3,Cloudy
2021-11-06,Benin,30.3,4.3,Rainy
2021-11-07,Benin,28.9,3.3,Rainy
2021-11-08,Benin,26.1,0.0,Sunny
2021-11-09,Benin,29.9,0.7,Cloudy
2021-11-10,Benin,29.1,0.0,Sunny
2021-11-11,Benin,30.5,0.0,Sunny
2021-11-12,Benin,25.9,3.9,Rainy
2021-11-13,Benin,24.1,1.8,Cloudy
2021-11-14,Benin,27.8,0.0,Sunny
2021-11-15,Benin,27.7,0.0,Sunny
2021-11-16,Benin,30.3,4.6,Rainy
2021-11-17,Benin,27.0,1.6,Cloudy
2021-11-18,Benin,26.0,3.1,Rainy
2021-11-19,Benin,29.6,0.4,Cloudy
2021-11-20,Benin,28.0,0.8,Cloudy
2021-11-21,Benin,25.6,4.1,Rainy
2021-11-22,Benin,26.8,0.0,Sunny
2021-11-23,Benin,27.8,3.0,Cloudy
2021-11-24,Benin,27.1,0.0,Sunny
2021-11-25,Benin,26.7,1.8,Cloudy
2021-11-26,Benin,31.3,0.0,Sunny
2021-11-27,Benin,26.1,0.0,Sunny
2021-11-28,Benin,25.5,3.4,Rainy
2021-11-29,Benin,30.2,1.4,Cloudy
2021-11-30,Benin,27.3,4.6,Rainy
2021-12-01,Benin,28.3,3.2,Rainy
2021-12-02,Benin,27.2,1.1,Cloudy
2021-12-03,Benin,26.1,2.3,Cloudy
2021-12-04,Benin,28.3,0.0,Sunny
2021-12-05,Benin,26.7,4.2,Rainy
2021-12-06,Benin,31.0,0.6,Cloudy
2021-12-07,Benin,28.1,1.8,Cloudy
2021-12-08,Benin,28.2,0.0,Sunny
2021-12-09,Benin,28.6,0.0,Sunny
2021-12-10,Benin,26.9,2.0,Cloudy
2021-12-11,Benin,28.9,0.0,Sunny
2021-12-12,Benin,27.3,0.0,Sunny
2021-12-13,Benin,27.8,0.9,Cloudy
2021-12-14,Benin,29.0,0.0,Sunny
2021-12-15,Benin,28.6,2.0,Cloudy
2021-12-16,Benin,28.3,0.5,Cloudy
2021-12-17,Benin,28.3,2.5,Cloudy
2021-12-18,Benin,29.3,4.6,Rainy
2021-12-19,Benin,26.5,0.1,Cloudy
2021-12-20,Benin,25.6,2.9,Cloudy
2021-12-21,Benin,27.5,1.4,Cloudy
2021-12-22,Benin,27.1,0.3,Cloudy
2021-12-23,Benin,29.8,2.4,Cloudy
2021-12-24,Benin,27.8,2.5,Cloudy
2021-12-25,Benin,29.2,0.2,Cloudy
2021-12-26,Benin,25.8,0.0,Sunny
2021-12-27,Benin,26.0,3.3,Rainy
2021-12-28,Benin,30.0,4.2,Rainy
2021-12-29,Benin,25.0,3.1,Rainy
2021-12-30,Benin,31.3,3.2,Rainy
2021-12-31,Benin,24.8,4.5,Rainy
2022-01-01,Benin,30.1,0.5,Cloudy
2022-01-02,Benin,30.7,0.0,Sunny
2022-01-03,Benin,30.0,4.2,Rainy
2022-01-04,Benin,30.9,1.1,Cloudy
2022-01-05,Benin,30.1,0.0,Sunny
2022-01-06,Benin,29.8,0.0,Sunny
2022-01-07,Benin,31.5,0.0,Sunny
2022-01-08,Benin,31.3,3.0,Cloudy
2022-01-09,Benin,32.0,1.2,Cloudy
2022-01-10,Benin,31.4,0.7,Cloudy
2022-01-11,Benin,28.2,4.1,Rainy
2022-01-12,Benin,29.9,0.0,Sunny
2022-01-13,Benin,29.3,0.1,Cloudy
2022-01-14,Benin,30.7,5.7,Rainy
2022-01-15,Benin,30.8,1.4,Cloudy
2022-01-16,Benin,33.7,3.0,Cloudy
2022-01-17,Benin,30.4,0.0,Cloudy
2022-01-18,Benin,30.5,0.9,Cloudy
2022-01-19,Benin,30.1,3.6,Rainy
2022-01-20,Benin,29.2,2.0,Cloudy
2022-01-21,Benin,31.4,0.0,Sunny
2022-01-22,Benin,28.8,0.7,Cloudy
2022-01-23,Benin,29.3,3.3,Rainy
2022-01-24,Benin,28.5,1.1,Cloudy
2022-01-25,Benin,33.8,1.8,Cloudy
2022-01-26,Benin,30.9,3.3,Rainy
2022-01-27,Benin,29.3,0.0,Sunny
2022-01-28,Benin,30.3,1.5,Cloudy
2022-01-29,Benin,27.6,1.8,Cloudy
2022-01-30,Benin,31.6,0.0,Sunny
2022-01-31,Benin,30.7,2.8,Cloudy
2022-02-01,Benin,30.9,2.4,Cloudy
2022-02-02,Benin,29.6,0.0,Sunny
2022-02-03,Benin,29.3,0.0,Sunny
2022-02-04,Benin,29.9,3.2,Rainy
2022-02-05,Benin,28.0,1.3,Cloudy
2022-02-06,Benin,28.4,0.0,Sunny
2022-02-07,Benin,30.8,0.0,Sunny
2022-02-08,Benin,31.1,0.0,Sunny
2022-02-09,Benin,31.0,0.0,Sunny
2022-02-10,Benin,29.1,4.8,Rainy
2022-02-11,Benin,32.6,0.2,Cloudy
2022-02-12,Benin,30.6,3.4,Rainy
2022-02-13,Benin,31.0,0.5,Cloudy
2022-02-14,Benin,28.9,2.7,Cloudy
2022-02-15,Benin,31.7,4.4,Rainy
2022-02-16,Benin,27.5,0.0,Sunny
2022-02-17,Benin,31.7,0.0,Sunny
2022-02-18,Benin,31.9,0.6,Cloudy
2022-02-19,Benin,29.2,1.4,Cloudy
2022-02-20,Benin,28.0,2.6,Cloudy
2022-02-21,Benin,32.5,2.7,Cloudy
2022-02-22,Benin,29.6,0.0,Sunny
2022-02-23,Benin,27.8,0.0,Sunny
2022-02-24,Benin,30.0,1.2,Cloudy
2022-02-25,Benin,31.3,0.0,Sunny
2022-02-26,Benin,32.0,2.4,Cloudy
2022-02-27,Benin,29.5,0.0,Sunny
2022-02-28,Benin,31.9,0.4,Cloudy
2022-03-01,Benin,30.0,1.8,Cloudy
2022-03-02,Benin,28.6,0.4,Cloudy
2022-03-03,Benin,31.3,2.5,Cloudy
2022-03-04,Benin,31.2,0.0,Sunny
2022-03-05,Benin,29.6,0.2,Cloudy
2022-03-06,Benin,30.6,1.7,Cloudy
2022-03-07,Benin,30.2,5.9,Rainy
2022-03-08,Benin,29.6,0.2,Cloudy
2022-03-09,Benin,28.3,0.0,Sunny
2022-03-10,Benin,28.2,0.0,Sunny
2022-03-11,Benin,32.0,1.1,Cloudy
2022-03-12,Benin,30.3,0.8,Cloudy
2022-03-13,Benin,30.5,3.8,Rainy
2022-03-14,Benin,27.0,3.4,Rainy
2022-03-15,Benin,26.2,1.1,Cloudy
2022-03-16,Benin,33.3,2.4,Cloudy
2022-03-17,Benin,30.6,5.0,Rainy
2022-03-18,Benin,28.9,1.9,Cloudy
2022-03-19,Benin,30.9,0.0,Sunny
2022-03-20,Benin,29.3,0.0,Sunny
2022-03-21,Benin,30.1,2.1,Cloudy
2022-03-22,Benin,30.2,2.4,Cloudy
2022-03-23,Benin,27.0,0.6,Cloudy
2022-03-24,Benin,28.5,1.6,Cloudy
2022-03-25,Benin,30.4,0.8,Cloudy
2022-03-26,Benin,30.8,3.0,Cloudy
2022-03-27,Benin,29.9,0.0,Sunny
2022-03-28,Benin,27.6,1.1,Cloudy
2022-03-29,Benin,30.4,0.0,Sunny
2022-03-30,Benin,31.1,0.1,Cloudy
2022-03-31,Benin,27.5,3.5,Rainy
2022-04-01,Benin,30.7,0.0,Sunny
2022-04-02,Benin,28.2,2.0,Cloudy
2022-04-03,Benin,31.5,4.5,Rainy
2022-04-04,Benin,26.8,9.4,Rainy
2022-04-05,Benin,27.2,3.7,Rainy
2022-04-06,Benin,27.8,2.2,Cloudy
2022-04-07,Benin,30.4,12.6,Rainy
2022-04-08,Benin,27.1,8.1,Rainy
2022-04-09,Benin,27.9,1.5,Cloudy
2022-04-10,Benin,29.7,0.0,Sunny
2022-04-11,Benin,29.7,8.7,Rainy
2022-04-12,Benin,28.4,11.6,Rainy
2022-04-13,Benin,27.1,11.7,Rainy
2022-04-14,Benin,26.1,18.5,Rainy
2022-04-15,Benin,28.4,0.0,Sunny
2022-04-16,Benin,28.7,0.0,Sunny
2022-04-17,Benin,29.6,11.8,Rainy
2022-04-18,Benin,27.5,7.9,Rainy
2022-04-19,Benin,26.7,10.2,Rainy
2022-04-20,Benin,29.6,10.4,Rainy
2022-04-21,Benin,28.8,2.8,Cloudy
2022-04-22,Benin,30.2,0.0,Sunny
2022-04-23,Benin,26.4,5.0,Rainy
2022-04-24,Benin,28.4,7.8,Rainy
2022-04-25,Benin,30.6,7.7,Rainy
2022-04-26,Benin,30.5,6.6,Rainy
2022-04-27,Benin,29.7,4.4,Rainy
2022-04-28,Benin,29.7,5.8,Rainy
2022-04-29,Benin,29.5,4.2,Rainy
2022-04-30,Benin,30.2,1.4,Cloudy
2022-05-01,Benin,29.0,11.6,Rainy
2022-05-02,Benin,27.6,0.0,Sunny
2022-05-03,Benin,29.5,3.7,Rainy
2022-05-04,Benin,30.5,4.3,Rainy
2022-05-05,Benin,28.1,4.6,Rainy
2022-05-06,Benin,30.6,7.9,Rainy
2022-05-07,Benin,25.3,5.9,Rainy
2022-05-08,Benin,29.4,4.9,Rainy
2022-05-09,Benin,28.1,11.0,Rainy
2022-05-10,Benin,30.9,0.0,Sunny
2022-05-11,Benin,27.8,4.3,Rainy
2022-05-12,Benin,30.4,5.2,Rainy
2022-05-13,Benin,28.0,8.5,Rainy
2022-05-14,Benin,28.7,4.4,Rainy
2022-05-15,Benin,29.0,7.9,Rainy
2022-05-16,Benin,28.5,8.4,Rainy
2022-05-17,Benin,28.9,0.0,Sunny
2022-05-18,Benin,28.9,0.0,Sunny
2022-05-19,Benin,29.1,9.1,Rainy
2022-05-20,Benin,27.4,6.8,Rainy
2022-05-21,Benin,27.8,6.0,Rainy
2022-05-22,Benin,30.3,0.0,Sunny
2022-05-23,Benin,27.3,3.2,Rainy
2022-05-24,Benin,29.5,4.2,Rainy
2022-05-25,Benin,28.9,15.2,Rainy
2022-05-26,Benin,27.2,10.7,Rainy
2022-05-27,Benin,28.5,7.7,Rainy
2022-05-28,Benin,32.2,8.4,Rainy
2022-05-29,Benin,29.6,13.0,Rainy
2022-05-30,Benin,30.7,1.0,Cloudy
2022-05-31,Benin,29.4,0.0,Sunny
2022-06-01,Benin,28.2,6.6,Rainy
2022-06-02,Benin,28.1,6.4,Rainy
2022-06-03,Benin,29.0,7.7,Rainy
2022-06-04,Benin,28.4,0.3,Cloudy
2022-06-05,Benin,31.2,2.5,Cloudy
2022-06-06,Benin,30.0,12.2,Rainy
2022-06-07,Benin,29.2,0.7,Cloudy
2022-06-08,Benin,28.7,10.1,Rainy
2022-06-09,Benin,29.3,0.0,Sunny
2022-06-10,Benin,29.9,8.8,Rainy
2022-06-11,Benin,28.5,8.1,Rainy
2022-06-12,Benin,29.4,4.0,Rainy
2022-06-13,Benin,27.1,10.4,Rainy
2022-06-14,Benin,30.1,7.9,Rainy
2022-06-15,Benin,31.3,9.7,Rainy
2022-06-16,Benin,30.0,0.0,Sunny
2022-06-17,Benin,30.8,5.4,Rainy
2022-06-18,Benin,29.5,6.6,Rainy
2022-06-19,Benin,30.2,10.6,Rainy
2022-06-20,Benin,30.0,7.4,Rainy
2022-06-21,Benin,29.3,0.0,Sunny
2022-06-22,Benin,28.6,0.3,Cloudy
2022-06-23,Benin,30.8,8.1,Rainy
2022-06-24,Benin,28.3,3.2,Rainy
2022-06-25,Benin,28.4,2.9,Cloudy
2022-06-26,Benin,26.8,0.0,Sunny
2022-06-27,Benin,29.0,10.4,Rainy
2022-06-28,Benin,28.2,6.5,Rainy
2022-06-29,Benin,30.1,0.0,Cloudy
2022-06-30,Benin,29.0,1.7,Cloudy
2022-07-01,Benin,29.4,12.8,Rainy
2022-07-02,Benin,25.5,6.9,Rainy
2022-07-03,Benin,28.6,9.2,Rainy
2022-07-04,Benin,27.1,11.5,Rainy
2022-07-05,Benin,25.6,3.5,Rainy
2022-07-06,Benin,25.7,8.9,Rainy
2022-07-07,Benin,26.1,4.1,Rainy
2022-07-08,Benin,27.9,8.5,Rainy
2022-07-09,Benin,25.6,10.3,Rainy
2022-07-10,Benin,27.7,0.0,Sunny
2022-07-11,Benin,25.0,4.9,Rainy
2022-07-12,Benin,28.3,9.4,Rainy
2022-07-13,Benin,27.5,5.2,Rainy
2022-07-14,Benin,27.8,0.7,Cloudy
2022-07-15,Benin,29.5,13.4,Rainy
2022-07-16,Benin,27.6,6.0,Rainy
2022-07-17,Benin,26.4,7.6,Rainy
2022-07-18,Benin,26.0,0.0,Sunny
2022-07-19,Benin,22.9,1.0,Cloudy
2022-07-20,Benin,27.2,6.7,Rainy
2022-07-21,Benin,26.3,5.7,Rainy
2022-07-22,Benin,26.6,0.0,Cloudy
2022-07-23,Benin,26.9,9.1,Rainy
2022-07-24,Benin,25.6,0.2,Cloudy
2022-07-25,Benin,25.4,0.0,Sunny
2022-07-26,Benin,26.3,8.6,Rainy
2022-07-27,Benin,27.3,4.2,Rainy
